,group,task_id,order,completed_time,actions_completed,p_incorrect,p_abandoned,norm_all_measures
57,7a01ab37bd2729626dcaf96166390315,7. Max 2 Boxes,7.0,0.0968,2.39,31.8,0.0,0.07818904547643853
65,7a01ab37bd2729626dcaf96166390315,8. Combine 2 Ramps,8.0,0.0652,1.74,20.76,0.0,0.04710718988545769
73,7a01ab37bd2729626dcaf96166390315,9. Scaling Round Objects,9.0,0.0756,2.29,39.94,3.85,0.1040992142456677
178,7a01ab37bd2729626dcaf96166390315,Square Cross-Sections,10.0,0.143,3.94,49.97,8.0,0.14761392982200155
97,7a01ab37bd2729626dcaf96166390315,Bird Fez,11.0,0.1779,4.04,41.31,0.0,0.11258243703563257
155,7a01ab37bd2729626dcaf96166390315,Pi Henge,12.0,0.0725,2.16,25.65,0.0,0.06071412708720064
33,7a01ab37bd2729626dcaf96166390315,45-Degree Rotations,13.0,0.0852,2.41,19.31,4.17,0.05625929367070652
163,7a01ab37bd2729626dcaf96166390315,Pyramids are Strange,14.0,0.2218,5.09,65.37,8.33,0.19524572732571197
105,7a01ab37bd2729626dcaf96166390315,Boxes Obscure Spheres,15.0,0.429,8.87,72.44,16.67,0.25842751392908475
140,7a01ab37bd2729626dcaf96166390315,Object Limits,16.0,0.212,4.28,81.42,16.67,0.24877639295785628
208,7a01ab37bd2729626dcaf96166390315,Warm Up,17.0,0.0333,0.63,9.03,0.0,0.012986981826055111
81,7a01ab37bd2729626dcaf96166390315,Angled Silhouette,18.0,0.187,4.22,47.64,16.67,0.1652168790732575
193,7a01ab37bd2729626dcaf96166390315,Sugar Cones,19.0,0.0468,1.03,34.0,0.0,0.07539135727595052
185,7a01ab37bd2729626dcaf96166390315,Stranger Shapes,20.0,0.2761,6.32,85.55,28.0,0.29451813669629556
200,7a01ab37bd2729626dcaf96166390315,Tall and Small,21.0,0.3,7.09,74.46,39.13,0.29615277115130184
170,7a01ab37bd2729626dcaf96166390315,Ramp Up and Can It,22.0,0.2808,5.42,67.72,42.86,0.28152316988015647
125,7a01ab37bd2729626dcaf96166390315,More Than Meets Your Eye,23.0,0.1914,5.52,32.03,26.32,0.15272226702624725
133,7a01ab37bd2729626dcaf96166390315,Not Bird,24.0,0.6567,15.58,83.23,55.0,0.4058385063304838
215,7a01ab37bd2729626dcaf96166390315,Zzz,26.0,0.3238,7.83,68.23,55.56,0.32087620212238194
113,7a01ab37bd2729626dcaf96166390315,Bull Market,27.0,0.635,21.22,74.26,64.71,0.420082888781639
119,7a01ab37bd2729626dcaf96166390315,Few Clues,28.0,0.5371,15.21,66.67,61.11,0.3683175944893072
148,7a01ab37bd2729626dcaf96166390315,Orange Dance,29.0,2.1467,69.35,75.0,83.33,0.7275612362201507
89,7a01ab37bd2729626dcaf96166390315,Bear Market,30.0,3.62,94.0,98.21,94.12,1.0
2,8cbfa61cb2b025b16b04a8e470422960,1. One Box,1.0,0.0218,0.35,1.79,3.45,0.0
10,8cbfa61cb2b025b16b04a8e470422960,2. Separated Boxes,2.0,0.0519,0.85,47.35,3.57,0.1079023296495427
18,8cbfa61cb2b025b16b04a8e470422960,3. Rotate a Pyramid,3.0,0.0559,1.27,36.05,0.0,0.07366015838153822
26,8cbfa61cb2b025b16b04a8e470422960,4. Match Silhouettes,4.0,0.0937,2.03,22.67,0.0,0.04477237360963962
42,8cbfa61cb2b025b16b04a8e470422960,5. Removing Objects,5.0,0.0969,2.06,32.98,3.7,0.07784508320783635
50,8cbfa61cb2b025b16b04a8e470422960,6. Stretch a Ramp,6.0,0.0904,1.83,49.2,3.85,0.11542240432044157
58,8cbfa61cb2b025b16b04a8e470422960,7. Max 2 Boxes,7.0,0.0571,1.01,22.67,4.0,0.051916873045504415
66,8cbfa61cb2b025b16b04a8e470422960,8. Combine 2 Ramps,8.0,0.0842,2.2,20.97,4.0,0.05039543855901834
74,8cbfa61cb2b025b16b04a8e470422960,9. Scaling Round Objects,9.0,0.1241,2.53,45.68,8.33,0.12008881004248682
179,8cbfa61cb2b025b16b04a8e470422960,Square Cross-Sections,10.0,0.1759,3.44,49.26,8.33,0.13130644638802738
98,8cbfa61cb2b025b16b04a8e470422960,Bird Fez,11.0,0.275,5.78,55.22,13.04,0.1628616913560134
156,8cbfa61cb2b025b16b04a8e470422960,Pi Henge,12.0,0.0939,2.11,25.94,4.17,0.06257207446063025
34,8cbfa61cb2b025b16b04a8e470422960,45-Degree Rotations,13.0,0.1289,3.22,21.11,14.29,0.07840212242128636
164,8cbfa61cb2b025b16b04a8e470422960,Pyramids are Strange,14.0,0.2182,5.04,46.83,19.05,0.1550434023637452
106,8cbfa61cb2b025b16b04a8e470422960,Boxes Obscure Spheres,15.0,0.4215,7.55,67.08,35.0,0.25069201972806476
141,8cbfa61cb2b025b16b04a8e470422960,Object Limits,16.0,0.18,2.94,71.3,22.22,0.21565105857879813
209,8cbfa61cb2b025b16b04a8e470422960,Warm Up,17.0,0.0737,1.37,17.75,5.0,0.043906088344177606
82,8cbfa61cb2b025b16b04a8e470422960,Angled Silhouette,18.0,0.222,4.66,41.67,25.0,0.15706641778990196
194,8cbfa61cb2b025b16b04a8e470422960,Sugar Cones,19.0,0.126,2.64,42.94,11.76,0.12221519388213034
186,8cbfa61cb2b025b16b04a8e470422960,Stranger Shapes,20.0,0.5662,13.18,81.8,18.75,0.25768883424202915
201,8cbfa61cb2b025b16b04a8e470422960,Tall and Small,21.0,0.4164,7.99,76.3,21.43,0.2397193742958486
171,8cbfa61cb2b025b16b04a8e470422960,Ramp Up and Can It,22.0,0.205,4.25,43.83,16.67,0.1408540623916
126,8cbfa61cb2b025b16b04a8e470422960,More Than Meets Your Eye,23.0,0.4688,12.19,33.33,27.27,0.16104841672460066
134,8cbfa61cb2b025b16b04a8e470422960,Not Bird,24.0,0.6333,12.56,64.98,10.0,0.19883279536852289
216,8cbfa61cb2b025b16b04a8e470422960,Zzz,26.0,0.5929,14.38,50.26,22.22,0.19515258553044978
114,8cbfa61cb2b025b16b04a8e470422960,Bull Market,27.0,1.1471,26.39,54.38,12.5,0.2150895288505961
120,8cbfa61cb2b025b16b04a8e470422960,Few Clues,28.0,1.136,27.82,41.67,37.5,0.24745871107361883
149,8cbfa61cb2b025b16b04a8e470422960,Orange Dance,29.0,1.91,60.78,81.25,80.0,0.510449353191825
90,8cbfa61cb2b025b16b04a8e470422960,Bear Market,30.0,8.46,214.71,99.66,92.86,1.0
3,95cd1f045a0329cf5595ae734ae7ae43,1. One Box,1.0,2.834,39.8,0.0,0.0,0.08905013772511253
11,95cd1f045a0329cf5595ae734ae7ae43,2. Separated Boxes,2.0,0.315,4.45,43.75,20.0,0.2358363457510365
19,95cd1f045a0329cf5595ae734ae7ae43,3. Rotate a Pyramid,3.0,1.4875,37.69,63.89,0.0,0.28553180894584396
27,95cd1f045a0329cf5595ae734ae7ae43,4. Match Silhouettes,4.0,0.9067,22.67,25.0,0.0,0.11133249362014021
43,95cd1f045a0329cf5595ae734ae7ae43,5. Removing Objects,5.0,0.5075,5.31,25.0,0.0,0.09576821385662669
51,95cd1f045a0329cf5595ae734ae7ae43,6. Stretch a Ramp,6.0,1.0,33.44,33.33,0.0,0.14743222467072267
59,95cd1f045a0329cf5595ae734ae7ae43,7. Max 2 Boxes,7.0,7.02,133.75,75.0,75.0,0.8239244154100311
67,95cd1f045a0329cf5595ae734ae7ae43,8. Combine 2 Ramps,8.0,0.32,10.12,0.0,50.0,0.1772939236118831
75,95cd1f045a0329cf5595ae734ae7ae43,9. Scaling Round Objects,9.0,4.17,83.25,83.33,75.0,0.745268774146111
180,95cd1f045a0329cf5595ae734ae7ae43,Square Cross-Sections,10.0,9.67,196.0,88.89,80.0,1.0
99,95cd1f045a0329cf5595ae734ae7ae43,Bird Fez,11.0,1.0875,17.2,46.0,20.0,0.274723369485632
157,95cd1f045a0329cf5595ae734ae7ae43,Pi Henge,12.0,0.545,11.66,0.0,33.33,0.12396685203971332
35,95cd1f045a0329cf5595ae734ae7ae43,45-Degree Rotations,13.0,1.72,35.0,33.33,0.0,0.17550407193958475
165,95cd1f045a0329cf5595ae734ae7ae43,Pyramids are Strange,14.0,11.53,212.0,93.75,50.0,0.9797016124387037
107,95cd1f045a0329cf5595ae734ae7ae43,Boxes Obscure Spheres,15.0,3.12,40.5,66.67,50.0,0.546275828894762
142,95cd1f045a0329cf5595ae734ae7ae43,Object Limits,16.0,6.55,103.0,80.0,0.0,0.54569280495473
210,95cd1f045a0329cf5595ae734ae7ae43,Warm Up,17.0,2.7,44.75,0.0,0.0,0.08382565503896322
83,95cd1f045a0329cf5595ae734ae7ae43,Angled Silhouette,18.0,12.56,254.0,50.0,0.0,0.6631044731533742
195,95cd1f045a0329cf5595ae734ae7ae43,Sugar Cones,19.0,0.55,10.0,0.0,0.0,0.0
187,95cd1f045a0329cf5595ae734ae7ae43,Stranger Shapes,20.0,2.63,47.0,75.0,50.0,0.55963346478989
202,95cd1f045a0329cf5595ae734ae7ae43,Tall and Small,21.0,2.37,58.0,0.0,0.0,0.07095939170740141
172,95cd1f045a0329cf5595ae734ae7ae43,Ramp Up and Can It,22.0,1.64,36.0,50.0,0.0,0.2373481229089658
127,95cd1f045a0329cf5595ae734ae7ae43,More Than Meets Your Eye,23.0,6.9,197.0,66.67,0.0,0.5073917077890739
135,95cd1f045a0329cf5595ae734ae7ae43,Not Bird,24.0,0.0,inf,100.0,100.0,0.7407797967912575
217,95cd1f045a0329cf5595ae734ae7ae43,Zzz,26.0,1.53,26.5,50.0,50.0,0.4193206877323259
115,95cd1f045a0329cf5595ae734ae7ae43,Bull Market,27.0,5.24,103.67,92.86,66.67,0.7930940211662355
121,95cd1f045a0329cf5595ae734ae7ae43,Few Clues,28.0,4.71,104.0,75.0,0.0,0.45446859318827754
150,95cd1f045a0329cf5595ae734ae7ae43,Orange Dance,29.0,0.0,,100.0,100.0,0.7407797967912575
91,95cd1f045a0329cf5595ae734ae7ae43,Bear Market,30.0,0.0,inf,100.0,100.0,0.7407797967912575
4,c6262795f034865c9e9203305638ee79,1. One Box,1.0,0.0805,1.44,0.0,0.0,0.0
12,c6262795f034865c9e9203305638ee79,2. Separated Boxes,2.0,0.0928,1.98,32.58,5.26,0.0895903213081332
20,c6262795f034865c9e9203305638ee79,3. Rotate a Pyramid,3.0,0.0747,1.46,38.64,0.0,0.09074248954481962
28,c6262795f034865c9e9203305638ee79,4. Match Silhouettes,4.0,0.1611,3.18,36.13,5.0,0.10080220026143055
44,c6262795f034865c9e9203305638ee79,5. Removing Objects,5.0,0.1572,3.16,37.86,5.26,0.10531787491520878
52,c6262795f034865c9e9203305638ee79,6. Stretch a Ramp,6.0,0.1469,2.78,42.13,11.11,0.12796148798366425
60,c6262795f034865c9e9203305638ee79,7. Max 2 Boxes,7.0,0.218,4.21,43.04,11.76,0.13536412831414307
68,c6262795f034865c9e9203305638ee79,8. Combine 2 Ramps,8.0,0.2817,6.04,23.21,14.29,0.09842970651156827
76,c6262795f034865c9e9203305638ee79,9. Scaling Round Objects,9.0,0.2608,5.39,46.25,7.69,0.13625349881580495
181,c6262795f034865c9e9203305638ee79,Square Cross-Sections,10.0,0.4233,7.86,59.69,20.0,0.20372598687878984
100,c6262795f034865c9e9203305638ee79,Bird Fez,11.0,0.3233,7.05,53.73,14.29,0.17262694202768922
158,c6262795f034865c9e9203305638ee79,Pi Henge,12.0,0.2525,4.87,30.56,0.0,0.08101570439813438
36,c6262795f034865c9e9203305638ee79,45-Degree Rotations,13.0,0.308,6.59,27.65,9.09,0.0984521046395379
166,c6262795f034865c9e9203305638ee79,Pyramids are Strange,14.0,0.5712,12.19,58.03,27.27,0.22565197004205056
108,c6262795f034865c9e9203305638ee79,Boxes Obscure Spheres,15.0,0.81,16.87,74.7,41.67,0.3102430290505132
143,c6262795f034865c9e9203305638ee79,Object Limits,16.0,0.361,7.63,75.25,9.09,0.21323316798411945
211,c6262795f034865c9e9203305638ee79,Warm Up,17.0,0.0711,1.5,0.0,10.0,0.02253590196670248
84,c6262795f034865c9e9203305638ee79,Angled Silhouette,18.0,0.2386,5.52,33.33,22.22,0.138369568916416
196,c6262795f034865c9e9203305638ee79,Sugar Cones,19.0,0.1057,2.43,16.67,0.0,0.04106156464485203
188,c6262795f034865c9e9203305638ee79,Stranger Shapes,20.0,0.308,7.43,56.94,28.57,0.21260535365589964
203,c6262795f034865c9e9203305638ee79,Tall and Small,21.0,0.66,16.79,83.87,33.33,0.30789295809330053
173,c6262795f034865c9e9203305638ee79,Ramp Up and Can It,22.0,1.26,28.72,78.33,50.0,0.3645942084352659
128,c6262795f034865c9e9203305638ee79,More Than Meets Your Eye,23.0,0.7675,22.56,31.25,0.0,0.11763863210947312
136,c6262795f034865c9e9203305638ee79,Not Bird,24.0,1.37,47.88,62.5,50.0,0.3507941145086347
218,c6262795f034865c9e9203305638ee79,Zzz,26.0,0.59,21.84,58.33,33.33,0.25078587794500395
116,c6262795f034865c9e9203305638ee79,Bull Market,27.0,10.26,287.67,94.44,66.67,1.0
122,c6262795f034865c9e9203305638ee79,Few Clues,28.0,2.9,156.0,50.0,0.0,0.369161235868689
151,c6262795f034865c9e9203305638ee79,Orange Dance,29.0,,,100.0,100.0,0.5121144591238109
92,c6262795f034865c9e9203305638ee79,Bear Market,30.0,0.0,,100.0,100.0,0.4855188645131076
5,cb71040b5bd1341a34afc24961536ebd,1. One Box,1.0,0.0397,0.6,4.41,2.86,0.0
13,cb71040b5bd1341a34afc24961536ebd,2. Separated Boxes,2.0,0.0931,1.36,42.09,18.75,0.27126166252129674
21,cb71040b5bd1341a34afc24961536ebd,3. Rotate a Pyramid,3.0,0.0758,1.17,35.77,0.0,0.15552468803775146
29,cb71040b5bd1341a34afc24961536ebd,4. Match Silhouettes,4.0,0.1277,2.12,40.4,0.0,0.1866319196183245
45,cb71040b5bd1341a34afc24961536ebd,5. Removing Objects,5.0,0.2058,3.23,47.93,7.69,0.26940383711307314
53,cb71040b5bd1341a34afc24961536ebd,6. Stretch a Ramp,6.0,0.1678,2.88,46.43,4.17,0.24132278217491385
61,cb71040b5bd1341a34afc24961536ebd,7. Max 2 Boxes,7.0,0.1022,1.98,30.62,0.0,0.13236146707705357
69,cb71040b5bd1341a34afc24961536ebd,8. Combine 2 Ramps,8.0,0.1665,3.17,27.9,8.0,0.16134395490780917
77,cb71040b5bd1341a34afc24961536ebd,9. Scaling Round Objects,9.0,0.2086,4.19,46.97,0.0,0.23175943631211518
182,cb71040b5bd1341a34afc24961536ebd,Square Cross-Sections,10.0,0.2676,4.45,58.72,29.17,0.4261396190928455
101,cb71040b5bd1341a34afc24961536ebd,Bird Fez,11.0,0.4172,8.93,52.89,18.18,0.36897775356411594
159,cb71040b5bd1341a34afc24961536ebd,Pi Henge,12.0,0.1244,2.7,12.96,0.0,0.04364224351584322
37,cb71040b5bd1341a34afc24961536ebd,45-Degree Rotations,13.0,0.1969,4.18,22.19,15.79,0.16928339136775827
167,cb71040b5bd1341a34afc24961536ebd,Pyramids are Strange,14.0,0.3943,7.77,49.55,17.65,0.3462372724947196
109,cb71040b5bd1341a34afc24961536ebd,Boxes Obscure Spheres,15.0,1.0957,17.96,70.53,53.33,0.7038697225636443
144,cb71040b5bd1341a34afc24961536ebd,Object Limits,16.0,0.5475,7.2,80.82,27.27,0.5708319817162886
85,cb71040b5bd1341a34afc24961536ebd,Angled Silhouette,18.0,0.2914,5.07,47.5,41.67,0.4247946389347716
197,cb71040b5bd1341a34afc24961536ebd,Sugar Cones,19.0,0.4371,6.86,50.84,30.0,0.4118159807587828
189,cb71040b5bd1341a34afc24961536ebd,Stranger Shapes,20.0,0.788,15.89,66.44,28.57,0.5344151578507818
204,cb71040b5bd1341a34afc24961536ebd,Tall and Small,21.0,1.405,32.9,74.17,20.0,0.6216346662167751
174,cb71040b5bd1341a34afc24961536ebd,Ramp Up and Can It,22.0,2.1,31.75,83.33,75.0,1.0
129,cb71040b5bd1341a34afc24961536ebd,More Than Meets Your Eye,23.0,4.175,114.84,40.0,33.33,0.8779963324875119
137,cb71040b5bd1341a34afc24961536ebd,Not Bird,24.0,1.36,28.5,58.33,0.0,0.44730842600696685
219,cb71040b5bd1341a34afc24961536ebd,Zzz,26.0,,,100.0,100.0,0.9922635749870988
93,cb71040b5bd1341a34afc24961536ebd,Bear Market,30.0,0.0,inf,100.0,100.0,0.9084970031778019
6,e21640b4aea9349ad77d86d6017cb061,1. One Box,1.0,0.0292,0.49,9.56,0.0,0.0
14,e21640b4aea9349ad77d86d6017cb061,2. Separated Boxes,2.0,0.0433,0.69,42.34,4.17,0.1522054399046842
22,e21640b4aea9349ad77d86d6017cb061,3. Rotate a Pyramid,3.0,0.0454,0.76,38.2,2.13,0.12885498928345152
30,e21640b4aea9349ad77d86d6017cb061,4. Match Silhouettes,4.0,0.0636,1.14,33.85,2.22,0.11683570664827558
46,e21640b4aea9349ad77d86d6017cb061,5. Removing Objects,5.0,0.0941,1.71,36.16,13.33,0.17399109586974812
54,e21640b4aea9349ad77d86d6017cb061,6. Stretch a Ramp,6.0,0.0968,1.98,50.21,7.32,0.21105993743200016
62,e21640b4aea9349ad77d86d6017cb061,7. Max 2 Boxes,7.0,0.0447,0.9,25.0,10.0,0.10232293337573226
70,e21640b4aea9349ad77d86d6017cb061,8. Combine 2 Ramps,8.0,0.0529,1.21,18.01,18.42,0.10563108333464019
78,e21640b4aea9349ad77d86d6017cb061,9. Scaling Round Objects,9.0,0.205,4.73,42.04,23.53,0.2662923788358674
183,e21640b4aea9349ad77d86d6017cb061,Square Cross-Sections,10.0,0.3386,7.45,61.23,57.58,0.5026496235844748
102,e21640b4aea9349ad77d86d6017cb061,Bird Fez,11.0,0.1884,4.32,40.18,26.92,0.26562463415186083
160,e21640b4aea9349ad77d86d6017cb061,Pi Henge,12.0,0.1865,4.53,29.95,10.53,0.1662679835592046
38,e21640b4aea9349ad77d86d6017cb061,45-Degree Rotations,13.0,0.1723,3.19,23.33,31.58,0.2084835851705801
168,e21640b4aea9349ad77d86d6017cb061,Pyramids are Strange,14.0,0.28,6.5,56.02,22.22,0.3408425424067192
110,e21640b4aea9349ad77d86d6017cb061,Boxes Obscure Spheres,15.0,0.5863,10.86,82.58,55.56,0.6558169992603574
145,e21640b4aea9349ad77d86d6017cb061,Object Limits,16.0,1.21,18.79,94.23,76.92,0.9621824334623751
212,e21640b4aea9349ad77d86d6017cb061,Warm Up,17.0,0.072,1.56,5.0,9.09,0.025773196632944296
86,e21640b4aea9349ad77d86d6017cb061,Angled Silhouette,18.0,0.645,12.65,30.0,60.0,0.47451798388260963
198,e21640b4aea9349ad77d86d6017cb061,Sugar Cones,19.0,0.1312,3.51,20.83,33.33,0.19224665402160832
190,e21640b4aea9349ad77d86d6017cb061,Stranger Shapes,20.0,1.2533,33.5,78.89,70.0,0.8883934703414057
205,e21640b4aea9349ad77d86d6017cb061,Tall and Small,21.0,0.0,inf,100.0,100.0,0.7082680962698567
175,e21640b4aea9349ad77d86d6017cb061,Ramp Up and Can It,22.0,1.74,16.0,66.67,75.0,1.0
130,e21640b4aea9349ad77d86d6017cb061,More Than Meets Your Eye,23.0,0.0,inf,100.0,100.0,0.7082680962698567
138,e21640b4aea9349ad77d86d6017cb061,Not Bird,24.0,0.0,,100.0,100.0,0.7082680962698567
220,e21640b4aea9349ad77d86d6017cb061,Zzz,26.0,0.0,,100.0,100.0,0.7082680962698567
152,e21640b4aea9349ad77d86d6017cb061,Orange Dance,29.0,0.0,,100.0,100.0,0.7082680962698567
94,e21640b4aea9349ad77d86d6017cb061,Bear Market,30.0,0.0,inf,100.0,100.0,0.7082680962698567
7,e6af7d42084352a39449e6d0a09b18cd,1. One Box,1.0,0.0088,0.19,0.67,1.32,0.0
15,e6af7d42084352a39449e6d0a09b18cd,2. Separated Boxes,2.0,0.0232,0.5,44.93,4.05,0.10918455987798346
23,e6af7d42084352a39449e6d0a09b18cd,3. Rotate a Pyramid,3.0,0.0186,0.36,35.27,1.41,0.08010177007770533
31,e6af7d42084352a39449e6d0a09b18cd,4. Match Silhouettes,4.0,0.0286,0.64,19.95,1.43,0.04723433667240022
47,e6af7d42084352a39449e6d0a09b18cd,5. Removing Objects,5.0,0.0409,0.83,31.14,1.43,0.07434375962707823
55,e6af7d42084352a39449e6d0a09b18cd,6. Stretch a Ramp,6.0,0.0263,0.48,37.83,1.45,0.08709439955613486
63,e6af7d42084352a39449e6d0a09b18cd,7. Max 2 Boxes,7.0,0.0277,0.55,25.17,1.49,0.05884165519764806
71,e6af7d42084352a39449e6d0a09b18cd,8. Combine 2 Ramps,8.0,0.0361,0.86,13.79,10.29,0.055846649974831956
79,e6af7d42084352a39449e6d0a09b18cd,9. Scaling Round Objects,9.0,0.0412,0.87,35.78,4.76,0.09297988932507163
184,e6af7d42084352a39449e6d0a09b18cd,Square Cross-Sections,10.0,0.0528,1.18,44.88,13.64,0.13690065642470978
103,e6af7d42084352a39449e6d0a09b18cd,Bird Fez,11.0,0.0755,1.64,46.23,9.68,0.13405527247717244
161,e6af7d42084352a39449e6d0a09b18cd,Pi Henge,12.0,0.0432,1.08,23.28,6.67,0.0700628293627962
39,e6af7d42084352a39449e6d0a09b18cd,45-Degree Rotations,13.0,0.063,1.56,30.17,6.9,0.08959101074214809
169,e6af7d42084352a39449e6d0a09b18cd,Pyramids are Strange,14.0,0.0837,2.03,53.88,14.04,0.16382333730654822
111,e6af7d42084352a39449e6d0a09b18cd,Boxes Obscure Spheres,15.0,0.103,2.33,64.1,14.55,0.1909499331616328
146,e6af7d42084352a39449e6d0a09b18cd,Object Limits,16.0,0.0781,1.57,75.0,20.37,0.22485380268595018
213,e6af7d42084352a39449e6d0a09b18cd,Warm Up,17.0,0.0178,0.32,6.77,5.66,0.02545077005008688
87,e6af7d42084352a39449e6d0a09b18cd,Angled Silhouette,18.0,0.0613,1.51,20.32,13.46,0.08262856457722709
199,e6af7d42084352a39449e6d0a09b18cd,Sugar Cones,19.0,0.0294,0.67,18.4,7.69,0.05885703128768045
191,e6af7d42084352a39449e6d0a09b18cd,Stranger Shapes,20.0,0.1329,3.09,80.63,24.0,0.2562018822351914
206,e6af7d42084352a39449e6d0a09b18cd,Tall and Small,21.0,0.1174,2.63,66.04,17.39,0.20442399793299984
176,e6af7d42084352a39449e6d0a09b18cd,Ramp Up and Can It,22.0,0.0703,1.39,47.64,23.4,0.16877778488761241
131,e6af7d42084352a39449e6d0a09b18cd,More Than Meets Your Eye,23.0,0.1918,5.26,41.58,17.5,0.16448997334270826
139,e6af7d42084352a39449e6d0a09b18cd,Not Bird,24.0,0.146,3.48,59.64,18.6,0.1981584881077083
221,e6af7d42084352a39449e6d0a09b18cd,Zzz,26.0,0.1029,2.59,52.29,24.39,0.18852276925153816
117,e6af7d42084352a39449e6d0a09b18cd,Bull Market,27.0,0.3475,8.79,66.61,47.37,0.31827907470087896
123,e6af7d42084352a39449e6d0a09b18cd,Few Clues,28.0,0.3079,8.52,59.31,54.84,0.315074150918195
153,e6af7d42084352a39449e6d0a09b18cd,Orange Dance,29.0,1.405,40.09,88.03,80.0,0.6422843695488794
95,e6af7d42084352a39449e6d0a09b18cd,Bear Market,30.0,3.025,87.3,97.63,95.0,1.0
